-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
27.66671,85.35001,2013,03,29,    0.03,    6.32,   40.11,   83.91,   12.50,   18.68,    4.29,    4.30,   25.70,   13.21,   18.39
27.66671,85.35001,2013,03,30,    0.04,    5.96,   40.78,   83.77,   14.31,   17.88,    3.13,    3.16,   24.49,   10.18,   17.19
27.66671,85.35001,2013,03,31,    0.06,    6.54,   45.37,   83.84,   13.65,   17.91,    4.64,    4.66,   23.99,   10.34,   16.97
27.66671,85.35001,2013,04,01,    0.07,    6.51,   43.77,   83.93,   12.18,   17.83,    4.83,    4.83,   24.16,   11.97,   17.49
27.66671,85.35001,2013,04,02,    0.00,    5.85,   37.82,   84.04,   13.38,   18.28,    3.24,    3.26,   25.38,   12.00,   18.14
27.66671,85.35001,2013,04,03,    2.24,    6.07,   39.12,   83.92,   14.91,   18.78,    3.59,    3.61,   25.79,   10.88,   18.17
27.66671,85.35001,2013,04,04,    0.09,    5.75,   37.64,   83.53,   13.30,   18.10,    2.92,    2.94,   24.97,   11.67,   17.85
27.66671,85.35001,2013,04,05,    0.00,    4.80,   31.92,   83.43,   14.83,   17.72,    0.36,    0.40,   25.73,   10.89,   17.56
27.66671,85.35001,2013,04,06,    0.00,    4.14,   28.08,   83.54,   13.76,   17.00,   -1.54,   -1.47,   24.62,   10.86,   17.30
27.66671,85.35001,2013,04,07,    0.00,    4.38,   27.53,   83.61,   15.26,   18.14,   -0.86,   -0.79,   26.44,   11.18,   18.50
