-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
27.66671,85.35001,2013,06,11,    3.33,    4.05,    0.65,    0.52,    3.98,    4.57,    2.32,    2.30
27.66671,85.35001,2013,06,12,    3.33,    4.15,    0.86,    0.57,    4.19,    4.71,    2.37,    2.34
27.66671,85.35001,2013,06,13,    3.26,    4.10,    0.34,    0.26,    3.60,    4.36,    2.06,    2.05
27.66671,85.35001,2013,06,14,    4.74,    4.95,    0.49,    0.41,    5.23,    5.35,    2.57,    2.54
27.66671,85.35001,2013,06,15,    2.62,    3.11,    1.02,    0.56,    3.64,    3.66,    2.22,    1.82
27.66671,85.35001,2013,06,16,    2.85,    2.98,    0.95,    0.61,    3.80,    3.59,    2.19,    1.83
27.66671,85.35001,2013,06,17,    1.48,    2.31,    1.06,    0.67,    2.55,    2.98,    1.77,    1.62
27.66671,85.35001,2013,06,18,    2.87,    3.56,    0.24,    0.14,    3.11,    3.70,    1.55,    1.60
27.66671,85.35001,2013,06,19,    2.69,    3.68,    0.81,    0.58,    3.50,    4.26,    2.21,    2.16
27.66671,85.35001,2013,06,20,    3.56,    4.21,    0.47,    0.42,    4.02,    4.62,    2.30,    2.36
27.66671,85.35001,2013,06,21,    3.46,    4.14,    0.28,    0.18,    3.74,    4.32,    1.93,    2.07
27.66671,85.35001,2013,06,22,    2.54,    3.41,    0.44,    0.33,    2.98,    3.74,    1.79,    1.83
27.66671,85.35001,2013,06,23,    3.05,    3.67,    0.21,    0.23,    3.26,    3.90,    1.77,    1.79
27.66671,85.35001,2013,06,24,    3.17,    3.82,    0.14,    0.04,    3.31,    3.86,    2.04,    2.05
27.66671,85.35001,2013,06,25,    2.84,    3.76,    0.61,    0.35,    3.45,    4.11,    2.01,    2.00
27.66671,85.35001,2013,06,26,    2.79,    3.39,    0.43,    0.25,    3.22,    3.64,    1.69,    1.75
27.66671,85.35001,2013,06,27,    2.61,    3.28,    0.11,    0.05,    2.72,    3.33,    1.73,    1.68
27.66671,85.35001,2013,06,28,    4.76,    4.91,    0.83,    0.65,    5.59,    5.56,    2.79,    2.68
27.66671,85.35001,2013,06,29,    4.83,    5.37,    0.82,    0.47,    5.65,    5.85,    2.66,    2.47
27.66671,85.35001,2013,06,30,    3.22,    3.93,    0.96,    0.66,    4.18,    4.58,    2.33,    2.17
27.66671,85.35001,2013,07,01,    3.52,    4.20,    0.24,    0.18,    3.76,    4.37,    1.94,    2.00
27.66671,85.35001,2013,07,02,    3.71,    4.34,    0.29,    0.16,    4.00,    4.50,    1.97,    2.01
27.66671,85.35001,2013,07,03,    3.09,    3.69,    0.21,    0.18,    3.30,    3.88,    1.78,    1.80
27.66671,85.35001,2013,07,04,    3.49,    4.17,    0.06,    0.02,    3.55,    4.20,    2.06,    2.05
